+--------+--------+---------+--------+-------+---------------+---------------+---------------+---------------+
| cust   | prod   |   month |   year |   day |   sum_1_quant |   max_1_quant |   sum_2_quant |   max_2_quant |
| Wally  | Eggs   |       1 |   2016 |    20 |           129 |           129 |           129 |           129 |
| Helen  | Jelly  |       9 |   2020 |     9 |           869 |           869 |           869 |           869 |
| Dan    | Grapes |      11 |   2018 |    25 |           787 |           787 |           787 |           787 |
| Boo    | Apple  |       6 |   2018 |    12 |           141 |           141 |           141 |           141 |
| Claire | Jelly  |      11 |   2018 |    25 |           659 |           659 |           659 |           659 |
| Wally  | Grapes |       1 |   2020 |    13 |           300 |           300 |           300 |           300 |
| Sam    | Grapes |       9 |   2020 |    19 |           119 |           119 |           119 |           119 |
| Emily  | Butter |       3 |   2017 |     6 |           555 |           555 |           555 |           555 |
| Emily  | Ham    |      11 |   2020 |    16 |           257 |           257 |           257 |           257 |
| Helen  | Ice    |      10 |   2020 |     9 |           407 |           407 |           407 |           407 |
| Dan    | Dates  |       5 |   2019 |    20 |           356 |           356 |           356 |           356 |
| Dan    | Apple  |       1 |   2020 |    31 |           101 |           101 |           101 |           101 |
| Boo    | Butter |       1 |   2019 |    30 |           163 |           163 |           163 |           163 |
| Chae   | Ham    |      11 |   2018 |    20 |           566 |           566 |           566 |           566 |
| Helen  | Butter |       3 |   2016 |    17 |            31 |            31 |            31 |            31 |
| Emily  | Ice    |       9 |   2017 |     7 |           551 |           551 |           551 |           551 |
| Boo    | Ice    |       4 |   2018 |    21 |           726 |           398 |           726 |           398 |
| Chae   | Dates  |       6 |   2019 |    20 |           622 |           622 |           622 |           622 |
| Claire | Ice    |       1 |   2020 |    29 |           224 |           224 |           224 |           224 |
| Mia    | Apple  |       4 |   2019 |    20 |           612 |           612 |           612 |           612 |
| Claire | Eggs   |       3 |   2018 |    18 |           720 |           720 |           720 |           720 |
| Dan    | Butter |       7 |   2020 |    16 |           101 |           101 |           101 |           101 |
| Helen  | Cherry |       1 |   2016 |    23 |            36 |            36 |            36 |            36 |
| Helen  | Dates  |      11 |   2019 |    25 |           896 |           896 |           896 |           896 |
| Sam    | Jelly  |       1 |   2016 |     3 |           323 |           323 |           323 |           323 |
| Helen  | Ice    |      11 |   2017 |    10 |           551 |           551 |           551 |           551 |
| Helen  | Jelly  |       3 |   2019 |    23 |           265 |           265 |           265 |           265 |
| Wally  | Dates  |       7 |   2018 |    22 |           222 |           222 |           222 |           222 |
| Emily  | Cherry |      12 |   2019 |    22 |           230 |           230 |           230 |           230 |
| Boo    | Dates  |      11 |   2018 |    20 |            95 |            95 |            95 |            95 |
| Chae   | Ice    |       2 |   2017 |     3 |           641 |           641 |           641 |           641 |
| Boo    | Eggs   |       6 |   2019 |    24 |           883 |           883 |           883 |           883 |
| Boo    | Apple  |       4 |   2020 |     1 |           532 |           532 |           532 |           532 |
| Dan    | Eggs   |       6 |   2018 |     4 |           734 |           734 |           734 |           734 |
| Mia    | Dates  |       3 |   2017 |    16 |           443 |           443 |           443 |           443 |
| Claire | Dates  |      12 |   2020 |     1 |           901 |           901 |           901 |           901 |
| Emily  | Dates  |       2 |   2019 |     1 |           283 |           283 |           283 |           283 |
| Emily  | Butter |       8 |   2016 |     8 |           742 |           742 |           742 |           742 |
| Wally  | Cherry |       5 |   2018 |     2 |           978 |           978 |           978 |           978 |
| Chae   | Ice    |       9 |   2019 |    21 |           690 |           690 |           690 |           690 |
| Boo    | Ham    |       6 |   2019 |    15 |           731 |           731 |           731 |           731 |
| Helen  | Eggs   |       3 |   2020 |    11 |           748 |           748 |           748 |           748 |
| Mia    | Cherry |       7 |   2018 |     6 |            40 |            40 |            40 |            40 |
| Sam    | Eggs   |      12 |   2017 |    28 |           987 |           987 |           987 |           987 |
| Claire | Eggs   |      12 |   2019 |     5 |           578 |           578 |           578 |           578 |
| Helen  | Grapes |       5 |   2020 |    20 |            14 |            14 |            14 |            14 |
| Claire | Butter |      11 |   2018 |     9 |           780 |           780 |           780 |           780 |
| Wally  | Fish   |       4 |   2019 |    16 |           205 |           205 |           205 |           205 |
| Mia    | Apple  |      12 |   2018 |     1 |            26 |            26 |            26 |            26 |
| Emily  | Jelly  |       5 |   2018 |    23 |           378 |           378 |           378 |           378 |
| Boo    | Ham    |      11 |   2019 |    17 |            88 |            88 |            88 |            88 |
| Boo    | Dates  |       7 |   2019 |     2 |           556 |           328 |           556 |           328 |
| Sam    | Apple  |       2 |   2018 |    22 |           669 |           669 |           669 |           669 |
| Chae   | Grapes |       8 |   2020 |     9 |           283 |           283 |           283 |           283 |
| Wally  | Grapes |       3 |   2019 |    23 |           741 |           741 |           741 |           741 |
| Emily  | Ham    |       2 |   2017 |     1 |           903 |           903 |           903 |           903 |
| Emily  | Ham    |       4 |   2016 |    25 |           960 |           960 |           960 |           960 |
| Dan    | Fish   |      12 |   2016 |    31 |           967 |           967 |           967 |           967 |
| Boo    | Dates  |       3 |   2016 |    13 |           378 |           378 |           378 |           378 |
| Boo    | Eggs   |       2 |   2020 |    16 |           780 |           780 |           780 |           780 |
| Dan    | Dates  |      12 |   2016 |    15 |           902 |           902 |           902 |           902 |
| Boo    | Jelly  |      11 |   2020 |    20 |           167 |           167 |           167 |           167 |
| Wally  | Dates  |       7 |   2019 |    25 |           981 |           981 |           981 |           981 |
| Chae   | Eggs   |       4 |   2017 |     6 |           165 |           165 |           165 |           165 |
| Boo    | Ham    |      10 |   2016 |    12 |           652 |           652 |           652 |           652 |
| Chae   | Butter |       5 |   2020 |     4 |           522 |           522 |           522 |           522 |
| Helen  | Jelly  |       6 |   2016 |     6 |            89 |            89 |            89 |            89 |
| Chae   | Apple  |       3 |   2017 |    12 |           585 |           585 |           585 |           585 |
| Boo    | Cherry |       1 |   2016 |     4 |           908 |           908 |           908 |           908 |
| Boo    | Butter |       3 |   2019 |    25 |           600 |           600 |           600 |           600 |
| Helen  | Eggs   |       4 |   2016 |    30 |           609 |           609 |           609 |           609 |
| Mia    | Dates  |       7 |   2016 |     3 |           496 |           496 |           496 |           496 |
| Emily  | Dates  |       6 |   2016 |     1 |           287 |           287 |           287 |           287 |
| Claire | Grapes |       8 |   2018 |     1 |           705 |           705 |           705 |           705 |
| Dan    | Cherry |       7 |   2016 |    21 |           435 |           435 |           435 |           435 |
| Mia    | Dates  |       1 |   2016 |     1 |           865 |           865 |           865 |           865 |
| Mia    | Eggs   |      12 |   2019 |    18 |            67 |            67 |            67 |            67 |
| Wally  | Butter |       7 |   2018 |     9 |           967 |           967 |           967 |           967 |
| Wally  | Cherry |       3 |   2017 |    27 |           813 |           813 |           813 |           813 |
| Claire | Ice    |       8 |   2017 |    21 |           978 |           978 |           978 |           978 |
| Helen  | Cherry |       1 |   2016 |    28 |           334 |           334 |           334 |           334 |
| Dan    | Dates  |       9 |   2018 |    22 |           203 |           203 |           203 |           203 |
| Helen  | Fish   |       4 |   2016 |     9 |            36 |            36 |            36 |            36 |
| Mia    | Eggs   |      11 |   2020 |    18 |           976 |           976 |           976 |           976 |
| Dan    | Dates  |      10 |   2018 |    24 |           315 |           315 |           315 |           315 |
| Claire | Ice    |      12 |   2020 |    26 |           437 |           437 |           437 |           437 |
| Boo    | Jelly  |       7 |   2020 |    21 |            52 |            52 |            52 |            52 |
| Dan    | Fish   |       4 |   2017 |    13 |           263 |           263 |           263 |           263 |
| Chae   | Butter |       7 |   2018 |    29 |           456 |           456 |           456 |           456 |
| Boo    | Butter |       6 |   2016 |    28 |           731 |           731 |           731 |           731 |
| Claire | Cherry |       6 |   2020 |     8 |           748 |           748 |           748 |           748 |
| Emily  | Jelly  |       5 |   2018 |     7 |           577 |           577 |           577 |           577 |
| Emily  | Ham    |       7 |   2016 |    10 |           439 |           439 |           439 |           439 |
| Wally  | Apple  |       5 |   2020 |    10 |            50 |            50 |            50 |            50 |
| Boo    | Apple  |       5 |   2017 |    20 |           415 |           415 |           415 |           415 |
| Mia    | Apple  |       6 |   2016 |    12 |           544 |           544 |           544 |           544 |
| Chae   | Butter |       8 |   2019 |    31 |           794 |           794 |           794 |           794 |
| Chae   | Ham    |       6 |   2017 |     1 |           623 |           623 |           623 |           623 |
| Sam    | Butter |      12 |   2019 |    20 |           602 |           602 |           602 |           602 |
| Wally  | Eggs   |       4 |   2020 |     6 |           803 |           803 |           803 |           803 |
| Helen  | Ham    |       8 |   2020 |     7 |          1352 |           763 |          1352 |           763 |
| Dan    | Cherry |       4 |   2019 |    24 |           467 |           467 |           467 |           467 |
| Sam    | Dates  |       9 |   2018 |    28 |           272 |           272 |           272 |           272 |
| Claire | Cherry |       5 |   2016 |    24 |           569 |           569 |           569 |           569 |
| Wally  | Apple  |       9 |   2016 |     2 |           830 |           830 |           830 |           830 |
| Mia    | Ice    |       3 |   2019 |    20 |           667 |           667 |           667 |           667 |
| Sam    | Cherry |       9 |   2019 |     2 |           610 |           610 |           610 |           610 |
| Mia    | Fish   |      10 |   2016 |     5 |           271 |           271 |           271 |           271 |
| Helen  | Jelly  |       5 |   2020 |     7 |           473 |           473 |           473 |           473 |
| Chae   | Fish   |       6 |   2019 |    24 |           179 |           179 |           179 |           179 |
| Mia    | Jelly  |       4 |   2018 |    28 |           351 |           351 |           351 |           351 |
| Mia    | Jelly  |       6 |   2017 |    13 |           948 |           948 |           948 |           948 |
| Chae   | Cherry |      10 |   2019 |    19 |            60 |            60 |            60 |            60 |
| Claire | Dates  |       6 |   2019 |    24 |           575 |           575 |           575 |           575 |
| Helen  | Ice    |       4 |   2019 |    14 |           226 |           226 |           226 |           226 |
| Claire | Dates  |       8 |   2016 |    10 |           244 |           244 |           244 |           244 |
| Mia    | Cherry |      11 |   2019 |    30 |           713 |           713 |           713 |           713 |
| Mia    | Jelly  |      11 |   2019 |    18 |           852 |           852 |           852 |           852 |
| Wally  | Jelly  |      10 |   2019 |    14 |           786 |           786 |           786 |           786 |
| Chae   | Fish   |       8 |   2019 |     9 |           762 |           762 |           762 |           762 |
| Emily  | Jelly  |       9 |   2018 |    24 |           225 |           225 |           225 |           225 |
| Emily  | Ice    |       1 |   2017 |    24 |           560 |           560 |           560 |           560 |
| Dan    | Butter |       2 |   2016 |     7 |           826 |           826 |           826 |           826 |
| Dan    | Grapes |       8 |   2020 |     7 |           219 |           219 |           219 |           219 |
| Sam    | Eggs   |      11 |   2018 |    16 |           468 |           468 |           468 |           468 |
| Claire | Fish   |       1 |   2019 |     5 |           884 |           884 |           884 |           884 |
| Helen  | Cherry |      11 |   2017 |    13 |           551 |           551 |           551 |           551 |
| Boo    | Apple  |       8 |   2016 |    25 |           572 |           572 |           572 |           572 |
| Sam    | Butter |       1 |   2019 |    18 |            65 |            65 |            65 |            65 |
| Helen  | Jelly  |       8 |   2019 |    21 |           397 |           397 |           397 |           397 |
| Boo    | Cherry |       8 |   2017 |    22 |           314 |           314 |           314 |           314 |
| Boo    | Grapes |       3 |   2016 |     9 |           750 |           750 |           750 |           750 |
| Helen  | Butter |       9 |   2017 |    30 |           727 |           727 |           727 |           727 |
| Emily  | Butter |       1 |   2020 |     9 |            27 |            27 |            27 |            27 |
| Mia    | Dates  |       5 |   2017 |    16 |            34 |            34 |            34 |            34 |
| Dan    | Dates  |       1 |   2020 |    31 |           945 |           945 |           945 |           945 |
| Mia    | Cherry |       4 |   2020 |     5 |            88 |            88 |            88 |            88 |
| Mia    | Ice    |       3 |   2017 |     6 |           653 |           653 |           653 |           653 |
| Emily  | Ham    |      10 |   2020 |    25 |            41 |            41 |            41 |            41 |
| Boo    | Grapes |       7 |   2019 |     4 |           395 |           395 |           395 |           395 |
| Boo    | Fish   |       3 |   2018 |     5 |           349 |           349 |           349 |           349 |
| Mia    | Jelly  |      10 |   2016 |     2 |           474 |           474 |           474 |           474 |
| Boo    | Cherry |       7 |   2019 |    26 |            72 |            72 |            72 |            72 |
| Wally  | Jelly  |       5 |   2017 |     7 |           138 |           138 |           138 |           138 |
| Mia    | Dates  |       2 |   2018 |    18 |            89 |            89 |            89 |            89 |
| Emily  | Ham    |       5 |   2018 |    18 |           207 |           207 |           207 |           207 |
| Mia    | Fish   |       3 |   2018 |    24 |           547 |           547 |           547 |           547 |
| Emily  | Fish   |       9 |   2017 |    21 |           630 |           630 |           630 |           630 |
| Chae   | Ice    |      12 |   2016 |    14 |           904 |           904 |           904 |           904 |
| Sam    | Jelly  |       2 |   2020 |    14 |           807 |           807 |           807 |           807 |
| Helen  | Butter |       1 |   2017 |     7 |            18 |            18 |            18 |            18 |
| Chae   | Ice    |      12 |   2020 |    25 |           808 |           808 |           808 |           808 |
| Helen  | Apple  |       7 |   2019 |     7 |            24 |            24 |            24 |            24 |
| Dan    | Ham    |       9 |   2018 |    14 |           662 |           662 |           662 |           662 |
| Helen  | Dates  |       1 |   2016 |    21 |           476 |           476 |           476 |           476 |
| Helen  | Fish   |       3 |   2016 |    29 |           283 |           283 |           283 |           283 |
| Sam    | Butter |       9 |   2018 |    26 |           844 |           844 |           844 |           844 |
| Claire | Eggs   |      11 |   2018 |    30 |           229 |           229 |           229 |           229 |
| Mia    | Cherry |       4 |   2016 |    14 |           163 |           163 |           163 |           163 |
| Sam    | Ham    |      11 |   2016 |     4 |           452 |           452 |           452 |           452 |
| Emily  | Dates  |       1 |   2016 |     4 |           885 |           885 |           885 |           885 |
| Helen  | Ice    |       6 |   2016 |    24 |           698 |           698 |           698 |           698 |
| Sam    | Dates  |       1 |   2016 |    22 |           795 |           795 |           795 |           795 |
| Claire | Ice    |       5 |   2016 |    24 |           478 |           478 |           478 |           478 |
| Chae   | Dates  |       9 |   2017 |    18 |           469 |           469 |           469 |           469 |
| Helen  | Ice    |      10 |   2016 |    24 |           827 |           827 |           827 |           827 |
| Emily  | Dates  |       5 |   2018 |     6 |           753 |           753 |           753 |           753 |
| Sam    | Ice    |       5 |   2016 |    22 |           378 |           378 |           378 |           378 |
| Wally  | Eggs   |       3 |   2017 |    23 |           763 |           763 |           763 |           763 |
| Dan    | Dates  |      10 |   2018 |    27 |           635 |           635 |           635 |           635 |
| Claire | Fish   |       3 |   2017 |    27 |           801 |           801 |           801 |           801 |
| Emily  | Butter |       1 |   2019 |    11 |           459 |           459 |           459 |           459 |
| Mia    | Dates  |       2 |   2017 |    18 |           608 |           608 |           608 |           608 |
| Wally  | Eggs   |      11 |   2020 |    17 |           389 |           389 |           389 |           389 |
| Boo    | Dates  |       4 |   2019 |     4 |           464 |           464 |           464 |           464 |
| Sam    | Ice    |       6 |   2017 |     7 |           399 |           399 |           399 |           399 |
| Boo    | Grapes |       8 |   2020 |    23 |           698 |           698 |           698 |           698 |
| Boo    | Ice    |      11 |   2019 |    13 |           345 |           345 |           345 |           345 |
| Chae   | Jelly  |       2 |   2020 |     2 |           791 |           791 |           791 |           791 |
| Sam    | Grapes |       7 |   2020 |    17 |           450 |           450 |           450 |           450 |
| Mia    | Grapes |       2 |   2020 |     6 |           643 |           643 |           643 |           643 |
| Sam    | Apple  |      12 |   2020 |    31 |           866 |           866 |           866 |           866 |
| Dan    | Fish   |       2 |   2020 |    25 |           792 |           792 |           792 |           792 |
| Wally  | Fish   |       3 |   2016 |    14 |           567 |           567 |           567 |           567 |
| Sam    | Ice    |      11 |   2016 |    24 |           186 |           186 |           186 |           186 |
| Helen  | Eggs   |       8 |   2020 |    13 |           177 |           177 |           177 |           177 |
| Mia    | Butter |       9 |   2019 |    10 |           735 |           735 |           735 |           735 |
| Chae   | Grapes |       4 |   2019 |    22 |            62 |            62 |            62 |            62 |
| Emily  | Ham    |      11 |   2020 |    15 |           695 |           695 |           695 |           695 |
| Claire | Ice    |       3 |   2016 |    13 |           177 |           177 |           177 |           177 |
| Wally  | Butter |       9 |   2019 |     2 |           119 |           119 |           119 |           119 |
| Emily  | Grapes |       8 |   2019 |    12 |             5 |             5 |             5 |             5 |
| Helen  | Ham    |      12 |   2018 |    14 |           323 |           323 |           323 |           323 |
| Helen  | Apple  |       8 |   2020 |     3 |            13 |            13 |            13 |            13 |
| Wally  | Butter |       1 |   2018 |    27 |            35 |            35 |            35 |            35 |
| Mia    | Grapes |       5 |   2019 |     6 |           535 |           535 |           535 |           535 |
| Claire | Eggs   |       2 |   2020 |    14 |           445 |           445 |           445 |           445 |
| Mia    | Butter |      11 |   2020 |    29 |           571 |           571 |           571 |           571 |
| Claire | Ice    |      12 |   2017 |    25 |           877 |           877 |           877 |           877 |
| Claire | Fish   |       3 |   2020 |    11 |           544 |           544 |           544 |           544 |
| Emily  | Butter |      10 |   2016 |    28 |            93 |            93 |            93 |            93 |
| Boo    | Ice    |       2 |   2016 |    25 |           776 |           776 |           776 |           776 |
| Sam    | Dates  |       7 |   2018 |     6 |           160 |           160 |           160 |           160 |
| Wally  | Cherry |      12 |   2017 |     5 |           865 |           865 |           865 |           865 |
| Boo    | Fish   |      12 |   2020 |     6 |           661 |           661 |           661 |           661 |
| Claire | Ice    |       5 |   2019 |    12 |           928 |           928 |           928 |           928 |
| Helen  | Ham    |       5 |   2017 |    25 |           739 |           739 |           739 |           739 |
| Wally  | Apple  |       8 |   2018 |    25 |           603 |           603 |           603 |           603 |
| Chae   | Butter |       4 |   2018 |    28 |           695 |           695 |           695 |           695 |
| Boo    | Ice    |       7 |   2020 |    16 |            96 |            96 |            96 |            96 |
| Chae   | Jelly  |       5 |   2018 |     2 |           999 |           999 |           999 |           999 |
| Emily  | Ham    |      12 |   2017 |     1 |           334 |           334 |           334 |           334 |
| Emily  | Butter |       1 |   2018 |    23 |           948 |           948 |           948 |           948 |
| Chae   | Cherry |       5 |   2020 |     9 |           581 |           581 |           581 |           581 |
| Emily  | Ice    |       8 |   2020 |    28 |           165 |           165 |           165 |           165 |
| Dan    | Ice    |       9 |   2017 |    14 |           600 |           600 |           600 |           600 |
| Dan    | Ham    |       4 |   2018 |    30 |           850 |           850 |           850 |           850 |
| Helen  | Cherry |       1 |   2019 |    14 |           814 |           814 |           814 |           814 |
| Boo    | Apple  |       1 |   2019 |     4 |           764 |           764 |           764 |           764 |
| Chae   | Butter |      10 |   2017 |    14 |            14 |            14 |            14 |            14 |
| Dan    | Dates  |       5 |   2017 |    22 |           649 |           649 |           649 |           649 |
| Boo    | Dates  |      10 |   2016 |    20 |           503 |           503 |           503 |           503 |
| Boo    | Grapes |      12 |   2018 |    31 |           181 |           181 |           181 |           181 |
| Sam    | Eggs   |      12 |   2016 |    21 |           199 |           199 |           199 |           199 |
| Mia    | Dates  |      10 |   2017 |    27 |           442 |           442 |           442 |           442 |
| Dan    | Jelly  |       7 |   2018 |     6 |           176 |           176 |           176 |           176 |
| Mia    | Butter |      11 |   2018 |     3 |          1597 |           947 |          1597 |           947 |
| Sam    | Grapes |      12 |   2020 |    24 |           270 |           270 |           270 |           270 |
| Mia    | Cherry |       2 |   2020 |    27 |           703 |           703 |           703 |           703 |
| Helen  | Dates  |       4 |   2016 |    13 |           661 |           661 |           661 |           661 |
| Boo    | Grapes |       7 |   2016 |    19 |           305 |           305 |           305 |           305 |
| Claire | Fish   |       3 |   2017 |    16 |           991 |           991 |           991 |           991 |
| Emily  | Grapes |       7 |   2017 |    13 |           296 |           296 |           296 |           296 |
| Claire | Cherry |       1 |   2019 |    29 |           394 |           394 |           394 |           394 |
| Chae   | Grapes |      11 |   2019 |    13 |           702 |           702 |           702 |           702 |
| Chae   | Butter |       9 |   2016 |    22 |           474 |           474 |           474 |           474 |
| Mia    | Eggs   |       3 |   2017 |    28 |           743 |           743 |           743 |           743 |
| Mia    | Eggs   |       4 |   2017 |     5 |           809 |           809 |           809 |           809 |
| Chae   | Ham    |      10 |   2017 |    12 |           774 |           774 |           774 |           774 |
| Boo    | Butter |      12 |   2019 |    17 |           175 |           175 |           175 |           175 |
| Wally  | Grapes |       6 |   2017 |    30 |           481 |           481 |           481 |           481 |
| Mia    | Butter |       8 |   2018 |     6 |           179 |           179 |           179 |           179 |
| Wally  | Eggs   |       3 |   2018 |     9 |           434 |           434 |           434 |           434 |
| Claire | Eggs   |      11 |   2019 |     2 |           399 |           399 |           399 |           399 |
| Chae   | Apple  |       8 |   2019 |     1 |           434 |           434 |           434 |           434 |
| Helen  | Ice    |      10 |   2017 |     5 |           838 |           838 |           838 |           838 |
| Wally  | Ice    |       9 |   2019 |     2 |            97 |            97 |            97 |            97 |
| Dan    | Ham    |       2 |   2019 |    26 |            55 |            55 |            55 |            55 |
| Emily  | Butter |      11 |   2017 |    13 |           487 |           487 |           487 |           487 |
| Mia    | Butter |       6 |   2019 |    26 |           354 |           354 |           354 |           354 |
| Sam    | Butter |       3 |   2016 |    11 |           696 |           696 |           696 |           696 |
| Sam    | Ham    |       1 |   2017 |    26 |           517 |           517 |           517 |           517 |
| Helen  | Jelly  |       4 |   2018 |     7 |           565 |           565 |           565 |           565 |
| Claire | Apple  |       5 |   2018 |    18 |           826 |           826 |           826 |           826 |
| Emily  | Dates  |       3 |   2018 |    26 |            22 |            22 |            22 |            22 |
| Mia    | Ice    |       9 |   2017 |    16 |           308 |           308 |           308 |           308 |
| Boo    | Apple  |       6 |   2016 |    26 |           130 |           130 |           130 |           130 |
| Dan    | Cherry |       1 |   2017 |    16 |           141 |           141 |           141 |           141 |
| Boo    | Eggs   |       5 |   2018 |     4 |           962 |           962 |           962 |           962 |
| Helen  | Apple  |       8 |   2020 |    26 |           967 |           967 |           967 |           967 |
| Boo    | Ham    |       3 |   2016 |     4 |           692 |           692 |           692 |           692 |
