+--------+--------+---------+--------+-------+---------------+---------------+---------------+---------------+-----------------+-----------------+
| cust   | prod   |   month |   year |   day |   sum_1_quant |   max_1_quant |   sum_2_quant |   max_2_quant |   count_1_quant |   count_2_quant |
| Sam    | Ice    |       8 |   2017 |     7 |           353 |           353 |           353 |           353 |               1 |               1 |
| Claire | Jelly  |      11 |   2019 |     1 |           200 |           200 |           200 |           200 |               1 |               1 |
| Helen  | Ice    |      11 |   2018 |    18 |           704 |           704 |           704 |           704 |               1 |               1 |
| Wally  | Ham    |       8 |   2018 |     5 |           907 |           907 |           907 |           907 |               1 |               1 |
| Dan    | Apple  |      10 |   2020 |    14 |           261 |           261 |           261 |           261 |               1 |               1 |
| Dan    | Eggs   |       8 |   2019 |    27 |           129 |           129 |           129 |           129 |               1 |               1 |
| Dan    | Apple  |       3 |   2018 |    16 |            61 |            61 |            61 |            61 |               1 |               1 |
| Claire | Jelly  |      10 |   2016 |    18 |           677 |           677 |           677 |           677 |               1 |               1 |
| Claire | Butter |      11 |   2019 |    17 |           833 |           833 |           833 |           833 |               1 |               1 |
| Mia    | Eggs   |       1 |   2020 |    23 |           757 |           757 |           757 |           757 |               1 |               1 |
| Claire | Jelly  |      12 |   2017 |    23 |          1144 |           821 |          1144 |           821 |               2 |               2 |
| Boo    | Dates  |       3 |   2018 |     4 |           808 |           808 |           808 |           808 |               1 |               1 |
| Dan    | Jelly  |       1 |   2020 |    20 |           972 |           972 |           972 |           972 |               1 |               1 |
| Sam    | Grapes |       7 |   2018 |    10 |           518 |           518 |           518 |           518 |               1 |               1 |
| Mia    | Eggs   |       6 |   2019 |     9 |           519 |           519 |           519 |           519 |               1 |               1 |
| Helen  | Cherry |       1 |   2017 |    16 |           220 |           220 |           220 |           220 |               1 |               1 |
| Boo    | Ham    |       1 |   2016 |    21 |           983 |           983 |           983 |           983 |               1 |               1 |
| Chae   | Butter |      11 |   2020 |     7 |           347 |           347 |           347 |           347 |               1 |               1 |
| Mia    | Jelly  |       5 |   2019 |    26 |           628 |           628 |           628 |           628 |               1 |               1 |
| Emily  | Ice    |       6 |   2016 |     9 |           623 |           623 |           623 |           623 |               1 |               1 |
| Sam    | Ham    |      12 |   2017 |    21 |           293 |           293 |           293 |           293 |               1 |               1 |
| Emily  | Ham    |       2 |   2016 |     9 |           916 |           916 |           916 |           916 |               1 |               1 |
| Dan    | Ice    |       5 |   2020 |     5 |           442 |           442 |           442 |           442 |               1 |               1 |
| Claire | Cherry |       8 |   2017 |    28 |          1460 |           961 |          1460 |           961 |               2 |               2 |
| Chae   | Butter |      10 |   2019 |    21 |           422 |           422 |           422 |           422 |               1 |               1 |
| Boo    | Ice    |       1 |   2020 |    30 |           642 |           642 |           642 |           642 |               1 |               1 |
| Boo    | Dates  |       4 |   2016 |    16 |           990 |           990 |           990 |           990 |               1 |               1 |
| Emily  | Butter |       8 |   2019 |    13 |           400 |           400 |           400 |           400 |               1 |               1 |
| Helen  | Ham    |       3 |   2019 |     5 |           578 |           578 |           578 |           578 |               1 |               1 |
| Chae   | Ham    |       3 |   2018 |     2 |           700 |           700 |           700 |           700 |               1 |               1 |
| Claire | Cherry |       5 |   2020 |     8 |           373 |           373 |           373 |           373 |               1 |               1 |
| Claire | Apple  |       5 |   2019 |    27 |           328 |           328 |           328 |           328 |               1 |               1 |
| Chae   | Ice    |       5 |   2017 |    13 |           413 |           413 |           413 |           413 |               1 |               1 |
| Sam    | Cherry |       8 |   2019 |    13 |          1243 |           814 |          1243 |           814 |               2 |               2 |
| Helen  | Cherry |       4 |   2017 |    10 |          1191 |           981 |          1191 |           981 |               2 |               2 |
| Boo    | Fish   |       8 |   2019 |     3 |           121 |           121 |           121 |           121 |               1 |               1 |
| Mia    | Jelly  |       7 |   2018 |     6 |           981 |           981 |           981 |           981 |               1 |               1 |
| Sam    | Ham    |       3 |   2018 |    30 |            50 |            50 |            50 |            50 |               1 |               1 |
| Dan    | Dates  |       8 |   2020 |    26 |           457 |           457 |           457 |           457 |               1 |               1 |
| Mia    | Jelly  |       5 |   2016 |    17 |             3 |             3 |             3 |             3 |               1 |               1 |
| Mia    | Fish   |      10 |   2016 |     5 |           271 |           271 |           271 |           271 |               1 |               1 |
| Chae   | Grapes |       9 |   2020 |    26 |            37 |            37 |            37 |            37 |               1 |               1 |
| Emily  | Apple  |      12 |   2017 |    21 |           662 |           662 |           662 |           662 |               1 |               1 |
| Helen  | Ice    |       9 |   2020 |     9 |           964 |           964 |           964 |           964 |               1 |               1 |
| Chae   | Ice    |      11 |   2018 |    23 |           998 |           998 |           998 |           998 |               1 |               1 |
| Wally  | Grapes |       6 |   2020 |    28 |           414 |           414 |           414 |           414 |               1 |               1 |
| Boo    | Apple  |       1 |   2018 |     3 |           759 |           759 |           759 |           759 |               1 |               1 |
| Sam    | Grapes |       5 |   2018 |    13 |           740 |           740 |           740 |           740 |               1 |               1 |
| Emily  | Ice    |       1 |   2020 |    10 |           487 |           487 |           487 |           487 |               1 |               1 |
| Wally  | Cherry |      12 |   2018 |     9 |           837 |           837 |           837 |           837 |               1 |               1 |
| Emily  | Cherry |       4 |   2020 |    26 |           972 |           972 |           972 |           972 |               1 |               1 |
| Claire | Cherry |       3 |   2017 |    19 |           467 |           467 |           467 |           467 |               1 |               1 |
| Dan    | Fish   |       7 |   2020 |    13 |           602 |           602 |           602 |           602 |               1 |               1 |
| Helen  | Ham    |       8 |   2018 |    14 |           695 |           695 |           695 |           695 |               1 |               1 |
| Helen  | Dates  |       9 |   2016 |    23 |           923 |           923 |           923 |           923 |               1 |               1 |
| Sam    | Dates  |      11 |   2018 |    17 |           947 |           947 |           947 |           947 |               1 |               1 |
| Chae   | Grapes |       4 |   2017 |     7 |            69 |            69 |            69 |            69 |               1 |               1 |
| Mia    | Butter |       4 |   2017 |    13 |           786 |           786 |           786 |           786 |               1 |               1 |
| Sam    | Jelly  |       1 |   2017 |    27 |           619 |           619 |           619 |           619 |               1 |               1 |
| Emily  | Cherry |       7 |   2018 |    21 |           909 |           909 |           909 |           909 |               1 |               1 |
| Dan    | Fish   |      11 |   2020 |     6 |           844 |           844 |           844 |           844 |               1 |               1 |
| Emily  | Ham    |       4 |   2019 |    20 |           816 |           816 |           816 |           816 |               1 |               1 |
| Wally  | Dates  |       3 |   2016 |     3 |           643 |           643 |           643 |           643 |               1 |               1 |
| Chae   | Fish   |       5 |   2018 |     9 |           598 |           598 |           598 |           598 |               1 |               1 |
| Mia    | Ham    |       7 |   2019 |    22 |           462 |           462 |           462 |           462 |               1 |               1 |
| Mia    | Cherry |       1 |   2018 |    31 |           644 |           644 |           644 |           644 |               1 |               1 |
| Claire | Cherry |       4 |   2016 |    10 |           266 |           266 |           266 |           266 |               1 |               1 |
| Sam    | Ice    |       5 |   2016 |    10 |           913 |           913 |           913 |           913 |               1 |               1 |
| Chae   | Apple  |       5 |   2016 |     5 |           921 |           921 |           921 |           921 |               1 |               1 |
| Sam    | Eggs   |      10 |   2016 |    28 |           912 |           912 |           912 |           912 |               1 |               1 |
| Dan    | Ham    |       6 |   2016 |    22 |           305 |           305 |           305 |           305 |               1 |               1 |
| Helen  | Jelly  |       2 |   2017 |    13 |           663 |           663 |           663 |           663 |               1 |               1 |
| Wally  | Apple  |       4 |   2020 |    22 |           553 |           553 |           553 |           553 |               1 |               1 |
| Claire | Cherry |       7 |   2019 |     9 |           707 |           707 |           707 |           707 |               1 |               1 |
| Claire | Ham    |       4 |   2019 |    28 |           878 |           878 |           878 |           878 |               1 |               1 |
| Boo    | Eggs   |      12 |   2018 |    16 |           727 |           727 |           727 |           727 |               1 |               1 |
| Mia    | Butter |      11 |   2018 |    20 |           826 |           826 |           826 |           826 |               1 |               1 |
| Wally  | Butter |       3 |   2020 |    15 |           922 |           922 |           922 |           922 |               1 |               1 |
| Wally  | Cherry |       7 |   2016 |    11 |           319 |           319 |           319 |           319 |               1 |               1 |
| Emily  | Cherry |       2 |   2019 |     6 |           735 |           735 |           735 |           735 |               1 |               1 |
| Helen  | Cherry |       6 |   2018 |    17 |           924 |           924 |           924 |           924 |               1 |               1 |
| Emily  | Apple  |      10 |   2020 |    25 |           596 |           596 |           596 |           596 |               1 |               1 |
| Chae   | Butter |       1 |   2019 |    27 |           403 |           251 |           403 |           251 |               2 |               2 |
| Boo    | Cherry |       8 |   2017 |    22 |           314 |           314 |           314 |           314 |               1 |               1 |
| Helen  | Eggs   |       5 |   2019 |     1 |           753 |           753 |           753 |           753 |               1 |               1 |
| Chae   | Grapes |       4 |   2016 |    16 |           607 |           607 |           607 |           607 |               1 |               1 |
| Boo    | Grapes |       2 |   2017 |    15 |           319 |           319 |           319 |           319 |               1 |               1 |
| Claire | Apple  |       4 |   2016 |    14 |           435 |           435 |           435 |           435 |               1 |               1 |
| Wally  | Dates  |       6 |   2017 |     4 |           438 |           438 |           438 |           438 |               1 |               1 |
| Sam    | Cherry |       2 |   2016 |     5 |            15 |            15 |            15 |            15 |               1 |               1 |
| Wally  | Ice    |       7 |   2019 |    18 |           641 |           641 |           641 |           641 |               1 |               1 |
| Wally  | Ham    |       6 |   2019 |    11 |           472 |           472 |           472 |           472 |               1 |               1 |
| Sam    | Apple  |       9 |   2016 |    30 |           916 |           916 |           916 |           916 |               1 |               1 |
| Helen  | Fish   |       7 |   2019 |    28 |           918 |           918 |           918 |           918 |               1 |               1 |
| Helen  | Apple  |       8 |   2017 |    12 |           260 |           260 |           260 |           260 |               1 |               1 |
| Chae   | Butter |       2 |   2019 |    11 |           501 |           501 |           501 |           501 |               1 |               1 |
| Dan    | Eggs   |       7 |   2017 |    23 |           593 |           593 |           593 |           593 |               1 |               1 |
| Claire | Fish   |       3 |   2016 |    21 |           964 |           964 |           964 |           964 |               1 |               1 |
| Emily  | Fish   |       8 |   2020 |    29 |           629 |           629 |           629 |           629 |               1 |               1 |
| Wally  | Apple  |       8 |   2018 |     3 |           773 |           773 |           773 |           773 |               1 |               1 |
| Sam    | Ham    |       7 |   2020 |    27 |           948 |           893 |           948 |           893 |               2 |               2 |
| Wally  | Ham    |      11 |   2020 |    27 |           804 |           804 |           804 |           804 |               1 |               1 |
| Boo    | Eggs   |       1 |   2017 |    31 |           608 |           608 |           608 |           608 |               1 |               1 |
| Mia    | Cherry |       5 |   2016 |    17 |           990 |           990 |           990 |           990 |               1 |               1 |
| Sam    | Dates  |       8 |   2018 |    20 |           289 |           289 |           289 |           289 |               1 |               1 |
| Wally  | Dates  |      12 |   2018 |    18 |           290 |           290 |           290 |           290 |               1 |               1 |
| Mia    | Dates  |       3 |   2019 |    19 |           634 |           634 |           634 |           634 |               1 |               1 |
| Dan    | Cherry |       6 |   2019 |    30 |           487 |           487 |           487 |           487 |               1 |               1 |
| Helen  | Butter |       1 |   2017 |     7 |            18 |            18 |            18 |            18 |               1 |               1 |
| Claire | Apple  |      11 |   2020 |    13 |           240 |           240 |           240 |           240 |               1 |               1 |
| Sam    | Jelly  |       5 |   2017 |     1 |           453 |           453 |           453 |           453 |               1 |               1 |
| Boo    | Apple  |       8 |   2020 |    12 |           449 |           449 |           449 |           449 |               1 |               1 |
| Chae   | Eggs   |       3 |   2020 |     8 |           372 |           372 |           372 |           372 |               1 |               1 |
| Claire | Jelly  |       9 |   2018 |    29 |           777 |           777 |           777 |           777 |               1 |               1 |
| Sam    | Cherry |       6 |   2019 |    28 |           284 |           284 |           284 |           284 |               1 |               1 |
| Dan    | Ice    |       7 |   2016 |     3 |           365 |           365 |           365 |           365 |               1 |               1 |
| Boo    | Cherry |       9 |   2020 |     8 |             2 |             2 |             2 |             2 |               1 |               1 |
| Emily  | Dates  |       8 |   2017 |     2 |           842 |           842 |           842 |           842 |               1 |               1 |
| Claire | Dates  |       2 |   2019 |     4 |           127 |           127 |           127 |           127 |               1 |               1 |
| Helen  | Eggs   |      11 |   2019 |    12 |           827 |           827 |           827 |           827 |               1 |               1 |
| Chae   | Butter |       2 |   2016 |     9 |           943 |           943 |           943 |           943 |               1 |               1 |
| Dan    | Ice    |      12 |   2019 |    18 |           708 |           708 |           708 |           708 |               1 |               1 |
| Helen  | Butter |      10 |   2018 |     8 |            12 |            12 |            12 |            12 |               1 |               1 |
| Chae   | Butter |       3 |   2018 |    26 |           599 |           599 |           599 |           599 |               1 |               1 |
| Dan    | Ham    |       8 |   2017 |     5 |           231 |           231 |           231 |           231 |               1 |               1 |
| Claire | Dates  |       3 |   2020 |    15 |          1414 |           875 |          1414 |           875 |               2 |               2 |
| Wally  | Fish   |       3 |   2017 |    22 |           545 |           545 |           545 |           545 |               1 |               1 |
| Mia    | Butter |       7 |   2018 |     6 |           477 |           477 |           477 |           477 |               1 |               1 |
| Chae   | Ham    |       7 |   2020 |    29 |           329 |           329 |           329 |           329 |               1 |               1 |
| Dan    | Apple  |       5 |   2016 |    14 |           380 |           380 |           380 |           380 |               1 |               1 |
| Dan    | Butter |       6 |   2018 |     1 |           540 |           540 |           540 |           540 |               1 |               1 |
| Boo    | Apple  |       2 |   2018 |    24 |           692 |           692 |           692 |           692 |               1 |               1 |
| Mia    | Jelly  |       8 |   2018 |    14 |           924 |           924 |           924 |           924 |               1 |               1 |
| Mia    | Dates  |       5 |   2019 |    13 |           810 |           810 |           810 |           810 |               1 |               1 |
| Sam    | Jelly  |      12 |   2020 |    11 |           395 |           395 |           395 |           395 |               1 |               1 |
| Boo    | Dates  |       9 |   2020 |    30 |           403 |           403 |           403 |           403 |               1 |               1 |
| Dan    | Ham    |       6 |   2018 |    22 |           890 |           890 |           890 |           890 |               1 |               1 |
| Dan    | Fish   |      10 |   2020 |    12 |           986 |           986 |           986 |           986 |               1 |               1 |
| Chae   | Ice    |       7 |   2017 |    28 |           609 |           447 |           609 |           447 |               2 |               2 |
| Emily  | Ham    |       4 |   2017 |     1 |           200 |           200 |           200 |           200 |               1 |               1 |
| Helen  | Grapes |       1 |   2019 |    17 |           205 |           205 |           205 |           205 |               1 |               1 |
| Sam    | Eggs   |       7 |   2019 |    18 |           276 |           276 |           276 |           276 |               1 |               1 |
| Chae   | Grapes |       9 |   2018 |    28 |            52 |            52 |            52 |            52 |               1 |               1 |
| Wally  | Ham    |       1 |   2017 |    28 |           322 |           322 |           322 |           322 |               1 |               1 |
| Dan    | Butter |       8 |   2019 |    11 |           491 |           491 |           491 |           491 |               1 |               1 |
| Sam    | Ham    |       8 |   2018 |     1 |           834 |           834 |           834 |           834 |               1 |               1 |
| Chae   | Grapes |      12 |   2018 |    31 |           771 |           771 |           771 |           771 |               1 |               1 |
| Helen  | Jelly  |       1 |   2017 |     2 |           783 |           783 |           783 |           783 |               1 |               1 |
| Emily  | Cherry |       1 |   2017 |    25 |           560 |           560 |           560 |           560 |               1 |               1 |
| Mia    | Ice    |       9 |   2019 |    17 |           642 |           642 |           642 |           642 |               1 |               1 |
| Claire | Grapes |       2 |   2017 |     3 |           288 |           288 |           288 |           288 |               1 |               1 |
| Claire | Apple  |      11 |   2019 |    17 |           314 |           314 |           314 |           314 |               1 |               1 |
| Emily  | Eggs   |       2 |   2016 |    19 |           233 |           233 |           233 |           233 |               1 |               1 |
| Sam    | Jelly  |       8 |   2019 |     8 |          1051 |           906 |          1051 |           906 |               2 |               2 |
| Wally  | Grapes |       3 |   2019 |    16 |           157 |           157 |           157 |           157 |               1 |               1 |
| Boo    | Eggs   |      11 |   2017 |    18 |           410 |           410 |           410 |           410 |               1 |               1 |
| Boo    | Apple  |       9 |   2020 |    28 |           686 |           544 |           686 |           544 |               2 |               2 |
| Sam    | Grapes |      10 |   2016 |    24 |           535 |           535 |           535 |           535 |               1 |               1 |
| Emily  | Ham    |      10 |   2017 |     2 |           895 |           895 |           895 |           895 |               1 |               1 |
| Wally  | Fish   |       2 |   2018 |    13 |           153 |           153 |           153 |           153 |               1 |               1 |
| Chae   | Fish   |       7 |   2020 |    27 |           624 |           624 |           624 |           624 |               1 |               1 |
| Claire | Butter |       3 |   2016 |     8 |           938 |           938 |           938 |           938 |               1 |               1 |
| Wally  | Jelly  |       3 |   2017 |     6 |           695 |           695 |           695 |           695 |               1 |               1 |
| Claire | Fish   |       2 |   2018 |    18 |           636 |           636 |           636 |           636 |               1 |               1 |
| Sam    | Dates  |       4 |   2020 |    29 |           726 |           726 |           726 |           726 |               1 |               1 |
| Boo    | Apple  |       4 |   2019 |    14 |           879 |           879 |           879 |           879 |               1 |               1 |
| Emily  | Ham    |      10 |   2017 |    27 |           152 |           152 |           152 |           152 |               1 |               1 |
| Emily  | Dates  |       5 |   2019 |    17 |           481 |           481 |           481 |           481 |               1 |               1 |
| Mia    | Eggs   |       5 |   2017 |    15 |            81 |            81 |            81 |            81 |               1 |               1 |
| Wally  | Eggs   |       9 |   2018 |    14 |           744 |           744 |           744 |           744 |               1 |               1 |
| Wally  | Ham    |       5 |   2016 |    22 |           156 |           156 |           156 |           156 |               1 |               1 |
| Dan    | Grapes |       6 |   2018 |     6 |          1555 |           940 |          1555 |           940 |               2 |               2 |
| Claire | Cherry |       4 |   2018 |    14 |             6 |             6 |             6 |             6 |               1 |               1 |
| Helen  | Dates  |       8 |   2017 |     8 |           648 |           648 |           648 |           648 |               1 |               1 |
| Emily  | Fish   |       8 |   2017 |    16 |           500 |           310 |           500 |           310 |               2 |               2 |
| Wally  | Ice    |       5 |   2020 |    11 |           141 |           141 |           141 |           141 |               1 |               1 |
| Boo    | Dates  |      12 |   2019 |     7 |           794 |           794 |           794 |           794 |               1 |               1 |
| Claire | Dates  |      12 |   2016 |     8 |             5 |             5 |             5 |             5 |               1 |               1 |
| Wally  | Eggs   |       5 |   2017 |    19 |           658 |           658 |           658 |           658 |               1 |               1 |
| Claire | Eggs   |       9 |   2019 |    18 |            75 |            75 |            75 |            75 |               1 |               1 |
| Emily  | Eggs   |       1 |   2016 |    25 |           464 |           464 |           464 |           464 |               1 |               1 |
| Dan    | Ice    |       5 |   2019 |     9 |           491 |           491 |           491 |           491 |               1 |               1 |
| Emily  | Eggs   |      10 |   2018 |     4 |           550 |           550 |           550 |           550 |               1 |               1 |
| Mia    | Butter |       4 |   2017 |    28 |           759 |           759 |           759 |           759 |               1 |               1 |
| Claire | Ham    |      10 |   2019 |     3 |           949 |           949 |           949 |           949 |               1 |               1 |
| Helen  | Eggs   |      12 |   2020 |    27 |           268 |           268 |           268 |           268 |               1 |               1 |
| Emily  | Fish   |       5 |   2019 |    31 |            71 |            71 |            71 |            71 |               1 |               1 |
| Dan    | Fish   |      12 |   2019 |    29 |            77 |            77 |            77 |            77 |               1 |               1 |
| Chae   | Butter |       5 |   2018 |    31 |           568 |           565 |           568 |           565 |               2 |               2 |
| Claire | Apple  |       4 |   2016 |    12 |           776 |           776 |           776 |           776 |               1 |               1 |
| Boo    | Jelly  |      12 |   2019 |    14 |           896 |           896 |           896 |           896 |               1 |               1 |
| Sam    | Cherry |      11 |   2019 |    13 |           909 |           909 |           909 |           909 |               1 |               1 |
| Sam    | Cherry |       3 |   2018 |    11 |           800 |           800 |           800 |           800 |               1 |               1 |
| Emily  | Dates  |       3 |   2020 |    25 |           187 |           187 |           187 |           187 |               1 |               1 |
| Emily  | Ham    |       2 |   2018 |    23 |           495 |           495 |           495 |           495 |               1 |               1 |
| Boo    | Grapes |       4 |   2019 |    30 |           998 |           998 |           998 |           998 |               1 |               1 |
| Wally  | Cherry |      12 |   2016 |    23 |           828 |           828 |           828 |           828 |               1 |               1 |
| Boo    | Eggs   |       9 |   2018 |     9 |           609 |           609 |           609 |           609 |               1 |               1 |
| Mia    | Ham    |       6 |   2017 |    22 |          1796 |           902 |          1796 |           902 |               2 |               2 |
| Chae   | Apple  |       6 |   2019 |    14 |           900 |           900 |           900 |           900 |               1 |               1 |
| Boo    | Ice    |       9 |   2019 |    23 |           977 |           977 |           977 |           977 |               1 |               1 |
| Emily  | Eggs   |      11 |   2016 |    23 |           957 |           957 |           957 |           957 |               1 |               1 |
| Sam    | Ham    |       1 |   2017 |    26 |           517 |           517 |           517 |           517 |               1 |               1 |
| Mia    | Grapes |       9 |   2017 |     2 |            72 |            72 |            72 |            72 |               1 |               1 |
| Mia    | Cherry |      11 |   2020 |    26 |           627 |           627 |           627 |           627 |               1 |               1 |
| Boo    | Apple  |      12 |   2017 |    10 |           575 |           575 |           575 |           575 |               1 |               1 |
| Boo    | Jelly  |       2 |   2018 |    20 |           498 |           498 |           498 |           498 |               1 |               1 |
| Dan    | Ham    |       1 |   2016 |    19 |           893 |           893 |           893 |           893 |               1 |               1 |
| Claire | Dates  |       5 |   2017 |     7 |           779 |           779 |           779 |           779 |               1 |               1 |
| Dan    | Ham    |       2 |   2019 |     3 |           515 |           515 |           515 |           515 |               1 |               1 |
| Mia    | Jelly  |       5 |   2017 |     4 |          1516 |           997 |          1516 |           997 |               2 |               2 |
| Mia    | Jelly  |      12 |   2019 |     7 |           371 |           371 |           371 |           371 |               1 |               1 |
| Claire | Grapes |       3 |   2018 |    29 |           654 |           654 |           654 |           654 |               1 |               1 |
| Emily  | Ham    |       6 |   2019 |    20 |           339 |           339 |           339 |           339 |               1 |               1 |
| Wally  | Jelly  |       2 |   2017 |    18 |           689 |           689 |           689 |           689 |               1 |               1 |
| Mia    | Eggs   |       1 |   2018 |    30 |           431 |           431 |           431 |           431 |               1 |               1 |
| Wally  | Apple  |       9 |   2020 |    30 |           130 |           130 |           130 |           130 |               1 |               1 |
| Chae   | Dates  |       3 |   2019 |     9 |           488 |           488 |           488 |           488 |               1 |               1 |
| Boo    | Apple  |       3 |   2020 |     6 |           849 |           849 |           849 |           849 |               1 |               1 |
| Claire | Eggs   |       8 |   2018 |    13 |          1227 |           719 |          1227 |           719 |               2 |               2 |
| Mia    | Grapes |      11 |   2018 |     8 |           595 |           595 |           595 |           595 |               1 |               1 |
| Helen  | Ice    |       2 |   2020 |    25 |           165 |           165 |           165 |           165 |               1 |               1 |
| Claire | Butter |       9 |   2016 |     2 |           928 |           727 |           928 |           727 |               2 |               2 |
| Dan    | Cherry |       1 |   2017 |    30 |           923 |           923 |           923 |           923 |               1 |               1 |
| Chae   | Eggs   |       1 |   2019 |     7 |           691 |           691 |           691 |           691 |               1 |               1 |
| Helen  | Grapes |       9 |   2019 |     4 |           746 |           746 |           746 |           746 |               1 |               1 |
| Chae   | Dates  |      10 |   2017 |    20 |           829 |           829 |           829 |           829 |               1 |               1 |
| Wally  | Fish   |       8 |   2016 |    30 |           899 |           592 |           899 |           592 |               2 |               2 |
| Wally  | Cherry |       1 |   2017 |    19 |           145 |           145 |           145 |           145 |               1 |               1 |
| Sam    | Jelly  |      11 |   2016 |    24 |           255 |           255 |           255 |           255 |               1 |               1 |
| Helen  | Grapes |       9 |   2020 |     9 |            88 |            88 |            88 |            88 |               1 |               1 |
| Chae   | Butter |       9 |   2016 |    22 |           474 |           474 |           474 |           474 |               1 |               1 |
| Helen  | Jelly  |       5 |   2017 |     9 |           976 |           976 |           976 |           976 |               1 |               1 |
| Emily  | Jelly  |      11 |   2018 |    11 |           592 |           592 |           592 |           592 |               1 |               1 |
| Mia    | Dates  |       5 |   2016 |     2 |           703 |           510 |           703 |           510 |               2 |               2 |
| Sam    | Dates  |      12 |   2018 |    24 |           532 |           532 |           532 |           532 |               1 |               1 |
| Dan    | Ice    |       8 |   2016 |    15 |           648 |           340 |           648 |           340 |               2 |               2 |
| Claire | Butter |       2 |   2016 |    15 |           338 |           338 |           338 |           338 |               1 |               1 |
| Boo    | Dates  |       3 |   2016 |     6 |           962 |           962 |           962 |           962 |               1 |               1 |
| Helen  | Dates  |       2 |   2020 |    10 |            12 |            12 |            12 |            12 |               1 |               1 |
| Emily  | Ice    |       4 |   2018 |    28 |           858 |           858 |           858 |           858 |               1 |               1 |
| Chae   | Eggs   |       8 |   2016 |     2 |           432 |           432 |           432 |           432 |               1 |               1 |
| Claire | Fish   |       7 |   2016 |    18 |           849 |           849 |           849 |           849 |               1 |               1 |
| Wally  | Cherry |      12 |   2017 |    12 |            53 |            53 |            53 |            53 |               1 |               1 |
| Wally  | Grapes |       6 |   2016 |    24 |           524 |           524 |           524 |           524 |               1 |               1 |
| Dan    | Eggs   |      12 |   2017 |     2 |           851 |           851 |           851 |           851 |               1 |               1 |
| Claire | Butter |       5 |   2020 |    16 |            33 |            33 |            33 |            33 |               1 |               1 |
| Wally  | Butter |       7 |   2020 |    29 |          1292 |           824 |          1292 |           824 |               2 |               2 |
| Sam    | Ice    |      12 |   2017 |    19 |           898 |           898 |           898 |           898 |               1 |               1 |
| Dan    | Ham    |       3 |   2016 |     7 |           911 |           911 |           911 |           911 |               1 |               1 |
| Dan    | Cherry |      11 |   2018 |    13 |           159 |           159 |           159 |           159 |               1 |               1 |
| Dan    | Eggs   |       9 |   2018 |    15 |           911 |           911 |           911 |           911 |               1 |               1 |
